"","UID","Machine.Type","Air.temperature..K.","Process.temperature..K.","Rotational.speed..rpm.","Torque..Nm.","Tool.wear..min.","Target","Failure.Type","Timestamp","hours","time","fail","tempdiff"
"29","L47208","x_1",299.1,309.4,1439,44.2,82,"0","No Failure",2001-12-02 04:00:00,28,4,"0",9.5
"30","L47209","x_1",299,309.4,1693,30.1,84,"0","No Failure",2001-12-02 05:00:00,29,5,"0",9.60000000000002
"31","M14890","x1",299.1,309.5,1339,128,86,"0","No Failure",2001-12-02 06:00:00,30,6,"0",9.5
"32","L47211","x_1",299,309.4,1798,105.3,89,"0","No Failure",2001-12-02 07:00:00,31,7,"0",9.60000000000002
"33","L47212","x_1",299,309.4,1419,48.3,91,"0","No Failure",2001-12-02 08:00:00,32,8,"0",9.60000000000002
"34","L47213","x_1",298.9,309.3,1665,32.5,93,"0","No Failure",2001-12-02 09:00:00,33,9,"0",9.70000000000005
"35","M14894","x1",298.8,309.1,1559,34.7,95,"0","No Failure",2001-12-02 10:00:00,34,10,"0",9.80000000000001
"36","M14895","x1",298.8,309.2,1452,48.6,98,"0","No Failure",2001-12-02 11:00:00,35,11,"0",9.80000000000001
"37","M14896","x1",298.9,309.2,1581,36.7,101,"0","No Failure",2001-12-02 12:00:00,36,12,"0",9.70000000000005
"38","L47217","x_1",298.8,309.1,1439,39.2,104,"0","No Failure",2001-12-02 13:00:00,37,13,"0",9.80000000000001
"39","H29452","X1",298.9,309.2,1379,50.7,106,"0","No Failure",2001-12-02 14:00:00,38,14,"0",9.70000000000005
"40","L47219","x_1",298.8,309.1,1350,52.5,111,"0","No Failure",2001-12-02 15:00:00,39,15,"0",9.80000000000001
"41","L47220","x_1",298.8,309.1,1362,45.4,113,"0","No Failure",2001-12-02 16:00:00,40,16,"0",9.80000000000001
"42","L47221","x_1",298.8,309.1,1368,130.6,115,"0","No Failure",2001-12-02 17:00:00,41,17,"0",9.80000000000001
"43","M14902","x1",298.8,309.1,1368,49.1,117,"0","No Failure",2001-12-02 18:00:00,42,18,"0",9.80000000000001
"44","H29457","X1",298.8,309.2,1372,48.5,120,"0","No Failure",2001-12-02 19:00:00,43,19,"0",9.80000000000001
"45","M14904","x1",298.8,309.1,1472,47.5,125,"0","No Failure",2001-12-02 20:00:00,44,20,"0",9.80000000000001
"46","L47225","x_1",298.8,309.1,1489,49.1,128,"0","No Failure",2001-12-02 21:00:00,45,21,"0",9.80000000000001
"47","M14906","x1",298.7,309,1843,25.8,130,"0","No Failure",2001-12-02 22:00:00,46,22,"0",9.90000000000003
"48","L47227","x_1",298.8,309.1,1418,46.3,133,"0","No Failure",2001-12-02 23:00:00,47,23,"0",9.80000000000001
"49","H29462","X1",282.8,309.2,1425,53.9,135,"0","No Failure",2001-12-03,48,0,"0",25.8
"50","M14909","x1",298.9,309.2,1412,44.1,140,"0","No Failure",2001-12-03 01:00:00,49,1,"0",9.70000000000005
"51","L47230","x_1",298.9,309.1,2861,4.6,143,"1","Power Failure",2001-12-03 02:00:00,50,2,"1",9.70000000000005
"52","L47231","x_1",298.9,309.1,1383,54.9,145,"0","No Failure",2001-12-03 03:00:00,51,3,"0",9.70000000000005
"53","H29466","X1",298.8,309,1497,43.8,147,"0","No Failure",2001-12-03 04:00:00,52,4,"0",9.80000000000001
"54","L47233","x_1",298.7,309,1565,35.1,152,"0","No Failure",2001-12-03 05:00:00,53,5,"0",9.90000000000003
"55","L47234","x_1",298.7,309,1691,30.1,154,"0","No Failure",2001-12-03 06:00:00,54,6,"0",9.90000000000003
"56","L47235","x_1",298.8,309.1,1512,40.7,156,"0","No Failure",2001-12-03 07:00:00,55,7,"0",9.80000000000001
"57","L47236","x_1",298.8,309.1,1477,42.4,158,"0","No Failure",2001-12-03 08:00:00,56,8,"0",9.80000000000001
"58","L47237","x_1",298.8,309.1,1513,40.3,160,"0","No Failure",2001-12-03 09:00:00,57,9,"0",9.80000000000001
"59","M14918","x1",298.8,309,1661,29.5,162,"0","No Failure",2001-12-03 10:00:00,58,10,"0",9.80000000000001
"60","L47239","x_1",298.8,309.1,1378,54.4,165,"0","No Failure",2001-12-03 11:00:00,59,11,"0",9.80000000000001
"61","L47240","x_1",298.8,309.1,1393,52.6,167,"0","No Failure",2001-12-03 12:00:00,60,12,"0",9.80000000000001
"62","M14921","x1",298.8,309,1592,38.2,169,"0","No Failure",2001-12-03 13:00:00,61,13,"0",9.80000000000001
"63","L47242","x_1",298.8,309,1829,22.9,172,"0","No Failure",2001-12-03 14:00:00,62,14,"0",9.80000000000001
"64","M14923","x1",298.9,309,1812,25.9,174,"0","No Failure",2001-12-03 15:00:00,63,15,"0",9.70000000000005
"65","L47244","x_1",283,309.1,1523,38.6,177,"0","No Failure",2001-12-03 16:00:00,64,16,"0",25.6
"66","L47245","x_1",299,309.1,1394,45.1,179,"0","No Failure",2001-12-03 17:00:00,65,17,"0",9.60000000000002
"67","M14926","x1",298.9,308.9,1679,28.7,181,"0","No Failure",2001-12-03 18:00:00,66,18,"0",9.70000000000005
"68","H29481","X1",298.8,308.9,1466,44.1,184,"0","No Failure",2001-12-03 19:00:00,67,19,"0",9.80000000000001
"69","L47248","x_1",298.8,308.9,1527,32.4,189,"0","No Failure",2001-12-03 20:00:00,68,20,"0",9.80000000000001
"70","L47249","x_1",298.9,309,1410,65.7,191,"1","Power Failure",2001-12-03 21:00:00,69,21,"1",9.70000000000005
"71","M14930","x1",298.9,309,1924,22.6,193,"0","No Failure",2001-12-03 22:00:00,70,22,"0",9.70000000000005
"72","L47251","x_1",298.9,309.1,1452,45.5,196,"0","Error",2001-12-03 23:00:00,71,23,"1",9.70000000000005
"73","L47252","x_1",282.9,309.1,1369,44.4,198,"0","No Failure",2001-12-04,72,0,"0",25.7
"74","L47253","x_1",299,309.1,1592,35,200,"0","No Failure",2001-12-04 01:00:00,73,1,"0",9.60000000000002
"75","L47254","x_1",282.9,309,1601,32.3,202,"0","No Failure",2001-12-04 02:00:00,74,2,"0",25.7
"76","L47255","x_1",298.8,308.9,1379,46.7,204,"0","No Failure",2001-12-04 03:00:00,75,3,"0",9.80000000000001
"77","L47256","x_1",298.8,308.9,1461,47.9,206,"0","No Failure",2001-12-04 04:00:00,76,4,"0",9.80000000000001
"78","L47257","x_1",298.8,308.9,1455,41.3,208,"1","Tool Wear Failure",2001-12-04 05:00:00,77,5,"1",9.80000000000001
"79","L47258","x_1",298.8,308.9,1398,51.5,0,"0","No Failure",2001-12-04 06:00:00,78,6,"0",9.80000000000001
"80","L47259","x_1",298.8,308.9,1402,37.9,2,"0","No Failure",2001-12-04 07:00:00,79,7,"0",9.80000000000001
"81","H29494","X1",298.8,308.8,1445,49.9,4,"0","No Failure",2001-12-04 08:00:00,80,8,"0",9.80000000000001
"82","L47261","x_1",298.9,308.9,1450,47.5,9,"0","No Failure",2001-12-04 09:00:00,81,9,"0",9.70000000000005
"83","L47262","x_1",298.9,308.9,1453,40.8,11,"0","No Failure",2001-12-04 10:00:00,82,10,"0",9.70000000000005
"84","L47263","x_1",283,309,1469,40.1,13,"0","No Failure",2001-12-04 11:00:00,83,11,"0",25.6
"85","L47264","x_1",298.9,308.9,1422,47.6,15,"0","No Failure",2001-12-04 12:00:00,84,12,"0",9.70000000000005
"86","M14945","x1",299,309,1804,26.8,17,"0","No Failure",2001-12-04 13:00:00,85,13,"0",9.60000000000002
"87","H29500","X1",299,309,1436,43.9,20,"0","No Failure",2001-12-04 14:00:00,86,14,"0",9.60000000000002
"88","L47267","x_1",299,309,1544,31.8,25,"0","No Failure",2001-12-04 15:00:00,87,15,"0",9.60000000000002
"89","M14948","x1",299,309,1419,45.2,27,"0","No Failure",2001-12-04 16:00:00,88,16,"0",9.60000000000002
"90","M14949","X2",298.9,308.9,1487,39.5,30,"0","No Failure",2011-12-04 17:00:00,89,17,"0",9.70000000000005
"91","L47270","x_1",282.9,308.9,1753,25.8,33,"0","No Failure",2001-12-04 18:00:00,90,18,"0",25.7
"92","L47271","X2",298.9,308.9,1830,24.9,35,"0","No Failure",2011-12-04 19:00:00,91,19,"0",9.70000000000005
"93","M14952","x1",298.9,308.9,1727,27.1,37,"0","No Failure",2001-12-04 20:00:00,92,20,"0",9.70000000000005
"94","L47273","x_1",299.1,309,1450,43,40,"0","No Failure",2001-12-04 21:00:00,93,21,"0",9.5
"95","L47274","x_1",299,308.9,1622,31.9,42,"0","No Failure",2001-12-04 22:00:00,94,22,"0",9.60000000000002
"96","M14955","x1",299,309,1351,52.2,44,"0","No Failure",2001-12-04 23:00:00,95,23,"0",9.60000000000002
"97","M14956","x1",299,309,1575,35.3,47,"0","No Failure",2001-12-05,96,0,"0",9.60000000000002
"98","M14957","x1",298.9,308.9,1750,29.9,50,"0","No Failure",2001-12-05 01:00:00,97,1,"0",9.70000000000005
"99","L47278","x_1",298.9,308.8,1529,32.7,53,"0","No Failure",2001-12-05 02:00:00,98,2,"0",9.70000000000005
"100","L47279","x_1",298.8,308.8,1523,44.4,55,"0","No Failure",2001-12-05 03:00:00,99,3,"0",9.80000000000001
"101","L47280","x_1",298.8,308.9,1852,25,57,"0","No Failure",2001-12-05 04:00:00,100,4,"0",9.80000000000001
"102","L47281","x_1",298.8,308.8,1991,20.7,59,"0","No Failure",2001-12-05 05:00:00,101,5,"0",9.80000000000001
"103","L47282","x_1",298.8,308.8,1555,40.6,61,"0","No Failure",2001-12-05 06:00:00,102,6,"0",9.80000000000001
"104","M14963","x1",282.8,308.8,1441,40.5,63,"0","No Failure",2001-12-05 07:00:00,103,7,"0",25.8
"105","L47284","x_1",298.8,308.7,1450,43.4,66,"0","No Failure",2001-12-05 08:00:00,104,8,"0",9.80000000000001
"106","L47285","x_1",298.8,308.7,1591,31.1,68,"0","No Failure",2001-12-05 09:00:00,105,9,"0",9.80000000000001
"107","L47286","x_1",298.8,308.7,1445,48.5,70,"0","No Failure",2001-12-05 10:00:00,106,10,"0",9.80000000000001
"108","M14967","x1",298.8,308.8,1497,46.8,72,"0","No Failure",2001-12-05 11:00:00,107,11,"0",9.80000000000001
"109","H29522","X1",298.9,308.8,1621,32.7,75,"0","No Failure",2001-12-05 12:00:00,108,12,"0",9.70000000000005
"110","L47289","x_1",298.9,308.7,1572,34.1,80,"0","No Failure",2001-12-05 13:00:00,109,13,"0",9.70000000000005
"111","L47290","x_1",298.8,308.6,1872,22.5,82,"0","No Failure",2001-12-05 14:00:00,110,14,"0",9.80000000000001
"112","H29525","X1",298.7,308.6,1499,123.3,84,"0","No Failure",2001-12-05 15:00:00,111,15,"0",9.90000000000003
"113","M14972","x1",298.8,308.7,1498,39.5,89,"0","No Failure",2001-12-05 16:00:00,112,16,"0",9.80000000000001
"114","M14973","x1",298.8,308.6,1486,41.9,92,"0","No Failure",2001-12-05 17:00:00,113,17,"0",9.80000000000001
"115","L47294","x_1",298.8,308.6,1680,109.2,95,"0","No Failure",2001-12-05 18:00:00,114,18,"0",9.80000000000001
"116","L47295","x_1",298.8,308.6,1431,45.7,97,"0","No Failure",2001-12-05 19:00:00,115,19,"0",9.80000000000001
"117","L47296","x_1",298.9,308.7,1564,34.1,99,"0","No Failure",2001-12-05 20:00:00,116,20,"0",9.70000000000005
"118","L47297","x_1",298.8,308.6,1599,33,101,"0","No Failure",2001-12-05 21:00:00,117,21,"0",9.80000000000001
"119","M14978","x1",298.8,308.6,1707,28.1,103,"0","No Failure",2001-12-05 22:00:00,118,22,"0",9.80000000000001
"120","L47299","x_1",298.7,308.5,1467,40.7,106,"0","No Failure",2001-12-05 23:00:00,119,23,"0",9.90000000000003
"121","L47300","x_1",298.9,308.7,1433,44.7,108,"0","No Failure",2001-12-06,120,0,"0",9.70000000000005
"122","L47301","x_1",298.9,308.7,1558,41.2,110,"0","No Failure",2001-12-06 01:00:00,121,1,"0",9.70000000000005
"123","L47302","x_1",299,308.8,1310,50.7,112,"0","No Failure",2001-12-06 02:00:00,122,2,"0",9.60000000000002
"124","L47303","x_1",298.9,308.7,1546,43.4,114,"0","No Failure",2001-12-06 03:00:00,123,3,"0",9.70000000000005
"125","L47304","x_1",298.9,308.7,1727,29.4,116,"0","No Failure",2001-12-06 04:00:00,124,4,"0",9.70000000000005
"126","L47305","x_1",298.9,308.6,1560,32.2,118,"0","No Failure",2001-12-06 05:00:00,125,5,"0",9.70000000000005
"127","L47306","x_1",299,308.6,1329,60.5,120,"0","No Failure",2001-12-06 06:00:00,126,6,"0",9.60000000000002
"128","L47307","x_1",298.9,308.6,1413,46.5,122,"0","No Failure",2001-12-06 07:00:00,127,7,"0",9.70000000000005
"129","L47308","x_1",299,308.6,1587,38.6,124,"0","No Failure",2001-12-06 08:00:00,128,8,"0",9.60000000000002
"130","L47309","x_1",298.9,308.5,1559,34.3,126,"0","No Failure",2001-12-06 09:00:00,129,9,"0",9.70000000000005
"131","L47310","x_1",298.8,308.4,1473,41.1,128,"0","No Failure",2001-12-06 10:00:00,130,10,"0",9.80000000000001
"132","L47311","x_1",298.8,308.4,1737,27.7,130,"0","No Failure",2001-12-06 11:00:00,131,11,"0",9.80000000000001
"133","M14992","X2",282.7,308.4,1441,43.2,132,"0","No Failure",2011-12-06 12:00:00,132,12,"0",25.9
"134","M14993","x1",298.7,308.4,1430,49.6,135,"0","No Failure",2001-12-06 13:00:00,133,13,"0",9.90000000000003
"135","L47314","x_1",298.8,308.4,1369,53,138,"0","No Failure",2001-12-06 14:00:00,134,14,"0",9.80000000000001
"136","M14995","x1",298.8,308.5,1711,108.3,140,"0","No Failure",2001-12-06 15:00:00,135,15,"0",9.80000000000001
"137","H29550","X1",298.7,308.5,1420,45.7,143,"0","No Failure",2001-12-06 16:00:00,136,16,"0",9.90000000000003
"138","L47317","x_1",298.7,308.6,1297,55.3,148,"0","No Failure",2001-12-06 17:00:00,137,17,"0",9.90000000000003
"139","H29552","X1",298.8,308.6,1449,49.4,150,"0","No Failure",2001-12-06 18:00:00,138,18,"0",9.80000000000001
"140","L47319","x_1",298.8,308.6,1268,55.8,155,"0","No Failure",2001-12-06 19:00:00,139,19,"0",9.80000000000001
"141","L47320","x_1",298.8,308.6,1511,36.1,157,"0","No Failure",2001-12-06 20:00:00,140,20,"0",9.80000000000001
"142","L47321","x_1",298.7,308.5,1544,35.2,159,"0","No Failure",2001-12-06 21:00:00,141,21,"0",9.90000000000003
"143","M15002","x1",298.6,308.4,1778,28.2,161,"0","Error",2001-12-06 22:00:00,142,22,"1",10
"144","H29557","X1",298.6,308.4,1407,50.5,164,"0","No Failure",2001-12-06 23:00:00,143,23,"0",10
"145","M15004","x1",298.6,308.4,1391,42.4,169,"0","No Failure",2001-12-07,144,0,"0",10
"146","L47325","x_1",298.5,308.4,1513,33.6,172,"0","No Failure",2001-12-07 01:00:00,145,1,"0",10.1
"147","H29560","X1",298.5,308.4,1612,36.1,174,"0","No Failure",2001-12-07 02:00:00,146,2,"0",10.1
"148","L47327","x_1",298.4,308.4,1515,40.1,179,"0","No Failure",2001-12-07 03:00:00,147,3,"0",10.2
"149","M15008","x1",298.3,308.3,1379,48,181,"0","No Failure",2001-12-07 04:00:00,148,4,"0",10.3
"150","L47329","x_1",298.4,308.3,1473,39.9,184,"0","No Failure",2001-12-07 05:00:00,149,5,"0",10.2
"151","L47330","x_1",298.4,308.3,1422,42.7,186,"0","No Failure",2001-12-07 06:00:00,150,6,"0",10.2
"152","M15011","x1",298.4,308.2,1463,37.6,188,"0","No Failure",2001-12-07 07:00:00,151,7,"0",10.2
"153","M15012","x1",298.4,308.2,1584,41,191,"0","No Failure",2001-12-07 08:00:00,152,8,"0",10.2
"154","L47333","x_1",298.4,308.2,1850,27,194,"0","No Failure",2001-12-07 09:00:00,153,9,"0",10.2
"155","L47334","x_1",298.4,308.2,1528,36.2,196,"0","No Failure",2001-12-07 10:00:00,154,10,"0",10.2
"156","H29569","X1",298.4,308.2,1987,19.8,198,"0","No Failure",2001-12-07 11:00:00,155,11,"0",10.2
"157","M15016","x1",298.4,308.1,1495,46,203,"0","No Failure",2001-12-07 12:00:00,156,12,"0",10.2
"158","H29571","X1",298.4,308.2,1478,43.5,206,"0","No Failure",2001-12-07 13:00:00,157,13,"0",10.2
"159","M15018","x1",298.4,308.2,1499,40,211,"0","No Failure",2001-12-07 14:00:00,158,14,"0",10.2
"160","L47339","x_1",282.4,308.2,1471,47,214,"0","No Failure",2001-12-07 15:00:00,159,15,"0",26.2
"161","L47340","x_1",298.4,308.2,1282,60.7,216,"1","Overstrain Failure",2001-12-07 16:00:00,160,16,"1",10.2
"162","L47341","x_1",298.3,308.1,1412,52.3,218,"1","Overstrain Failure",2001-12-07 17:00:00,161,17,"1",10.3
"163","L47342","x_1",298.3,308.1,1586,35.5,0,"0","No Failure",2001-12-07 18:00:00,162,18,"0",10.3
"164","M15023","X2",298.4,308.2,1468,43.8,2,"0","No Failure",2011-12-07 19:00:00,163,19,"0",10.2
"165","M15024","x1",282.5,308.3,1440,43.6,5,"0","No Failure",2001-12-07 20:00:00,164,20,"0",26.1
"166","L47345","x_1",298.5,308.4,1733,26,8,"0","No Failure",2001-12-07 21:00:00,165,21,"0",10.1
"167","H29580","X1",298.4,308.2,1612,32.6,10,"0","No Failure",2001-12-07 22:00:00,166,22,"0",10.2
"168","H29581","X1",298.4,308.3,1458,42.9,15,"0","No Failure",2001-12-07 23:00:00,167,23,"0",10.2
"169","L47348","x_1",298.4,308.3,1433,142.1,20,"1","Power Failure",2001-12-08,168,0,"1",10.2
"170","L47349","x_1",298.4,308.3,1318,59.1,22,"0","No Failure",2001-12-08 01:00:00,169,1,"0",10.2
"171","M15030","x1",298.4,308.2,1610,35,24,"0","No Failure",2001-12-08 02:00:00,170,2,"0",10.2
"172","L47351","x_1",282.2,308.1,1462,50.8,27,"0","No Failure",2001-12-08 03:00:00,171,3,"0",26.4
"173","M15032","x1",298.1,308,1924,20.8,29,"0","No Failure",2001-12-08 04:00:00,172,4,"0",10.5
"174","M15033","x1",298.2,308,1591,33.7,32,"0","No Failure",2001-12-08 05:00:00,173,5,"0",10.4
"175","L47354","x_1",298.2,308.1,1306,58.3,35,"0","No Failure",2001-12-08 06:00:00,174,6,"0",10.4
"176","L47355","x_1",298.2,308.1,1382,43.5,37,"0","No Failure",2001-12-08 07:00:00,175,7,"0",10.4
"177","L47356","x_1",298.2,308.1,1618,34.7,39,"0","No Failure",2001-12-08 08:00:00,176,8,"0",10.4
"178","L47357","x_1",298.2,308.2,1988,21.4,41,"0","No Failure",2001-12-08 09:00:00,177,9,"0",10.4
"179","L47358","x_1",298.2,308.2,1436,50.2,43,"0","No Failure",2001-12-08 10:00:00,178,10,"0",10.4
"180","L47359","x_1",298.2,308.3,1304,129.6,45,"0","No Failure",2001-12-08 11:00:00,179,11,"0",10.4
"181","L47360","x_1",298.2,308.3,1475,49.9,47,"0","No Failure",2001-12-08 12:00:00,180,12,"0",10.4
"182","H29595","X2",298.2,308.3,1824,24.2,49,"0","No Failure",2011-12-08 13:00:00,181,13,"0",10.4
"183","M15042","x1",298.1,308.2,1342,207.7,54,"0","No Failure",2001-12-08 14:00:00,182,14,"0",10.5
"184","L47363","x_1",298.1,308.2,1485,40.7,57,"0","No Failure",2001-12-08 15:00:00,183,15,"0",10.5
"185","L47364","x_1",298.2,308.2,1667,30.6,59,"0","No Failure",2001-12-08 16:00:00,184,16,"0",10.4
"186","L47365","x_1",298.2,308.2,1446,38.2,61,"0","No Failure",2001-12-08 17:00:00,185,17,"0",10.4
"187","L47366","x_1",298.1,308.3,NA,56,63,"0","No Failure",2001-12-08 18:00:00,186,18,"0",10.5
"188","L47367","x_1",298.2,308.4,1379,43.1,65,"0","No Failure",2001-12-08 19:00:00,187,19,"0",10.4
"189","L47368","x_1",298.3,308.5,1606,113.4,67,"0","No Failure",2001-12-08 20:00:00,188,20,"0",10.3
"190","M15049","x1",298.3,308.4,1539,43.4,69,"0","No Failure",2001-12-08 21:00:00,189,21,"0",10.3
"191","L47370","x_1",298.2,308.4,1477,49.9,72,"0","No Failure",2001-12-08 22:00:00,190,22,"0",10.4
"192","L47371","x_1",298.2,308.4,1666,34.6,74,"0","No Failure",2001-12-08 23:00:00,191,23,"0",10.4
"193","H29606","X1",298.2,308.4,1398,51.8,76,"0","No Failure",2001-12-09,192,0,"0",10.4
"194","H29607","X1",298.2,308.4,1678,34.6,81,"0","No Failure",2001-12-09 01:00:00,193,1,"0",10.4
"195","M15054","x1",298.2,308.5,2678,10.7,86,"1","Power Failure",2001-12-09 02:00:00,194,2,"1",10.4
"196","L47375","x_1",298.3,308.5,1453,42.9,89,"0","No Failure",2001-12-09 03:00:00,195,3,"0",10.3
"197","H29610","X1",298.3,308.6,1432,49.5,91,"0","No Failure",2001-12-09 04:00:00,196,4,"0",10.3
"198","M15057","x1",298.4,308.6,1527,40.9,96,"0","No Failure",2001-12-09 05:00:00,197,5,"0",10.2
"199","L47378","x_1",298.4,308.7,1588,35,99,"0","No Failure",2001-12-09 06:00:00,198,6,"0",10.2
"200","L47379","x_1",298.4,308.6,1433,47.1,101,"0","No Failure",2001-12-09 07:00:00,199,7,"0",10.2
"201","L47380","x_1",298.4,308.6,1609,35,103,"0","No Failure",2001-12-09 08:00:00,200,8,"0",10.2
"202","L47381","x_1",298.3,308.5,1575,41.2,105,"0","No Failure",2001-12-09 09:00:00,201,9,"0",10.3
"203","M15062","x1",298.4,308.5,1636,35.7,107,"0","No Failure",2001-12-09 10:00:00,202,10,"0",10.2
"204","L47383","x_1",298.4,308.5,1490,37.9,110,"0","No Failure",2001-12-09 11:00:00,203,11,"0",10.2
"205","L47384","x_1",298.4,308.5,1741,32.8,112,"0","No Failure",2001-12-09 12:00:00,204,12,"0",10.2
"206","M15065","x1",298.5,308.6,1344,53,114,"0","No Failure",2001-12-09 13:00:00,205,13,"0",10.1
"207","L47386","x_1",298.5,308.7,1609,35.3,117,"0","No Failure",2001-12-09 14:00:00,206,14,"0",10.1
"208","M15067","x1",298.4,308.7,1421,60.7,119,"1","Power Failure",2001-12-09 15:00:00,207,15,"1",10.2
"209","L47388","x_1",298.4,308.6,1591,36.7,122,"0","No Failure",2001-12-09 16:00:00,208,16,"0",10.2
"210","L47389","x_1",298.4,308.6,1477,44,124,"0","No Failure",2001-12-09 17:00:00,209,17,"0",10.2
"211","L47390","x_1",298.4,308.7,1523,36.1,126,"0","No Failure",2001-12-09 18:00:00,210,18,"0",10.2
"212","L47391","x_1",298.5,308.7,1575,33.9,128,"0","No Failure",2001-12-09 19:00:00,211,19,"0",10.1
"213","H29626","X1",298.4,308.7,1344,52.9,130,"0","No Failure",2001-12-09 20:00:00,212,20,"0",10.2
"214","L47393","x_1",298.4,308.7,1386,44.9,135,"0","No Failure",2001-12-09 21:00:00,213,21,"0",10.2
"215","M15074","x1",298.3,308.6,1589,37.1,137,"0","No Failure",2001-12-09 22:00:00,214,22,"0",10.3
"216","L47395","x_1",298.3,308.6,1548,40.3,140,"0","No Failure",2001-12-09 23:00:00,215,23,"0",10.3
"217","L47396","x_1",298.3,308.6,1499,38.3,142,"0","Error",2001-12-10,216,0,"1",10.3
"218","L47397","x_1",298.3,308.5,1664,31.6,144,"0","No Failure",2001-12-10 01:00:00,217,1,"0",10.3
"219","L47398","x_1",298.3,308.6,1447,117.9,146,"0","No Failure",2001-12-10 02:00:00,218,2,"0",10.3
"220","M15079","x1",298.3,308.5,1434,46.2,148,"0","No Failure",2001-12-10 03:00:00,219,3,"0",10.3
"221","L47400","x_1",298.3,308.5,1416,52.7,151,"0","No Failure",2001-12-10 04:00:00,220,4,"0",10.3
"222","H29635","X1",298.4,308.5,1827,24.3,153,"0","No Failure",2001-12-10 05:00:00,221,5,"0",10.2
"223","L47402","x_1",298.4,308.6,1304,45,158,"0","No Failure",2001-12-10 06:00:00,222,6,"0",10.2
"224","L47403","x_1",298.4,308.6,1569,34.4,160,"0","No Failure",2001-12-10 07:00:00,223,7,"0",10.2
"225","L47404","x_1",298.3,308.6,1584,29.3,162,"0","No Failure",2001-12-10 08:00:00,224,8,"0",10.3
"226","L47405","x_1",298.3,308.5,1362,53.8,164,"0","No Failure",2001-12-10 09:00:00,225,9,"0",10.3
"227","L47406","x_1",298.3,308.4,1329,49.2,166,"0","No Failure",2001-12-10 10:00:00,226,10,"0",10.3
