UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
L47289,x_1,298.9,308.7,1572.0,34.1,80,0,No Failure,2001-12-05 13:00:00
L47290,x_1,298.8,308.6,1872.0,22.5,82,0,No Failure,2001-12-05 14:00:00
H29525,X1,298.7,308.6,1499.0,123.3,84,0,No Failure,2001-12-05 15:00:00
M14972,x1,298.8,308.7,1498.0,39.5,89,0,No Failure,2001-12-05 16:00:00
M14973,x1,298.8,308.6,1486.0,41.9,92,0,No Failure,2001-12-05 17:00:00
L47294,x_1,298.8,308.6,1680.0,109.2,95,0,No Failure,2001-12-05 18:00:00
L47295,x_1,298.8,308.6,1431.0,45.7,97,0,No Failure,2001-12-05 19:00:00
L47296,x_1,298.9,308.7,1564.0,34.1,99,0,No Failure,2001-12-05 20:00:00
L47297,x_1,298.8,308.6,1599.0,33.0,101,0,No Failure,2001-12-05 21:00:00
M14978,x1,298.8,308.6,1707.0,28.1,103,0,No Failure,2001-12-05 22:00:00
L47299,x_1,298.7,308.5,1467.0,40.7,106,0,No Failure,2001-12-05 23:00:00
L47300,x_1,298.9,308.7,1433.0,44.7,108,0,No Failure,2001-12-06 00:00:00
L47301,x_1,298.9,308.7,1558.0,41.2,110,0,No Failure,2001-12-06 01:00:00
L47302,x_1,299.0,308.8,1310.0,50.7,112,0,No Failure,2001-12-06 02:00:00
L47303,x_1,298.9,308.7,1546.0,43.4,114,0,No Failure,2001-12-06 03:00:00
L47304,x_1,298.9,308.7,1727.0,29.4,116,0,No Failure,2001-12-06 04:00:00
L47305,x_1,298.9,308.6,1560.0,32.2,118,0,No Failure,2001-12-06 05:00:00
L47306,x_1,299.0,308.6,1329.0,60.5,120,0,No Failure,2001-12-06 06:00:00
L47307,x_1,298.9,308.6,1413.0,46.5,122,0,No Failure,2001-12-06 07:00:00
L47308,x_1,299.0,308.6,1587.0,38.6,124,0,No Failure,2001-12-06 08:00:00
L47309,x_1,298.9,308.5,1559.0,34.3,126,0,No Failure,2001-12-06 09:00:00
L47310,x_1,298.8,308.4,1473.0,41.1,128,0,No Failure,2001-12-06 10:00:00
L47311,x_1,298.8,308.4,1737.0,27.7,130,0,No Failure,2001-12-06 11:00:00
M14992,X2,282.7,308.4,1441.0,43.2,132,0,No Failure,2011-12-06 12:00:00
M14993,x1,298.7,308.4,1430.0,49.6,135,0,No Failure,2001-12-06 13:00:00
L47314,x_1,298.8,308.4,1369.0,53.0,138,0,No Failure,2001-12-06 14:00:00
M14995,x1,298.8,308.5,1711.0,108.3,140,0,No Failure,2001-12-06 15:00:00
H29550,X1,298.7,308.5,1420.0,45.7,143,0,No Failure,2001-12-06 16:00:00
L47317,x_1,298.7,308.6,1297.0,55.3,148,0,No Failure,2001-12-06 17:00:00
H29552,X1,298.8,308.6,1449.0,49.4,150,0,No Failure,2001-12-06 18:00:00
L47319,x_1,298.8,308.6,1268.0,55.8,155,0,No Failure,2001-12-06 19:00:00
L47320,x_1,298.8,308.6,1511.0,36.1,157,0,No Failure,2001-12-06 20:00:00
L47321,x_1,298.7,308.5,1544.0,35.2,159,0,No Failure,2001-12-06 21:00:00
M15002,x1,298.6,308.4,1778.0,28.2,161,0,Error,2001-12-06 22:00:00
H29557,X1,298.6,308.4,1407.0,50.5,164,0,No Failure,2001-12-06 23:00:00
M15004,x1,298.6,308.4,1391.0,42.4,169,0,No Failure,2001-12-07 00:00:00
L47325,x_1,298.5,308.4,1513.0,33.6,172,0,No Failure,2001-12-07 01:00:00
H29560,X1,298.5,308.4,1612.0,36.1,174,0,No Failure,2001-12-07 02:00:00
L47327,x_1,298.4,308.4,1515.0,40.1,179,0,No Failure,2001-12-07 03:00:00
M15008,x1,298.3,308.3,1379.0,48.0,181,0,No Failure,2001-12-07 04:00:00
L47329,x_1,298.4,308.3,1473.0,39.9,184,0,No Failure,2001-12-07 05:00:00
L47330,x_1,298.4,308.3,1422.0,42.7,186,0,No Failure,2001-12-07 06:00:00
M15011,x1,298.4,308.2,1463.0,37.6,188,0,No Failure,2001-12-07 07:00:00
M15012,x1,298.4,308.2,1584.0,41.0,191,0,No Failure,2001-12-07 08:00:00
L47333,x_1,298.4,308.2,1850.0,27.0,194,0,No Failure,2001-12-07 09:00:00
L47334,x_1,298.4,308.2,1528.0,36.2,196,0,No Failure,2001-12-07 10:00:00
H29569,X1,298.4,308.2,1987.0,19.8,198,0,No Failure,2001-12-07 11:00:00
M15016,x1,298.4,308.1,1495.0,46.0,203,0,No Failure,2001-12-07 12:00:00
H29571,X1,298.4,308.2,1478.0,43.5,206,0,No Failure,2001-12-07 13:00:00
M15018,x1,298.4,308.2,1499.0,40.0,211,0,No Failure,2001-12-07 14:00:00
L47339,x_1,282.4,308.2,1471.0,47.0,214,0,No Failure,2001-12-07 15:00:00
L47340,x_1,298.4,308.2,1282.0,60.7,216,1,Overstrain Failure,2001-12-07 16:00:00
L47341,x_1,298.3,308.1,1412.0,52.3,218,1,Overstrain Failure,2001-12-07 17:00:00
L47342,x_1,298.3,308.1,1586.0,35.5,0,0,No Failure,2001-12-07 18:00:00
M15023,X2,298.4,308.2,1468.0,43.8,2,0,No Failure,2011-12-07 19:00:00
M15024,x1,282.5,308.3,1440.0,43.6,5,0,No Failure,2001-12-07 20:00:00
L47345,x_1,298.5,308.4,1733.0,26.0,8,0,No Failure,2001-12-07 21:00:00
H29580,X1,298.4,308.2,1612.0,32.6,10,0,No Failure,2001-12-07 22:00:00
H29581,X1,298.4,308.3,1458.0,42.9,15,0,No Failure,2001-12-07 23:00:00
L47348,x_1,298.4,308.3,1433.0,142.1,20,1,Power Failure,2001-12-08 00:00:00
L47349,x_1,298.4,308.3,1318.0,59.1,22,0,No Failure,2001-12-08 01:00:00
M15030,x1,298.4,308.2,1610.0,35.0,24,0,No Failure,2001-12-08 02:00:00
L47351,x_1,282.2,308.1,1462.0,50.8,27,0,No Failure,2001-12-08 03:00:00
M15032,x1,298.1,308.0,1924.0,20.8,29,0,No Failure,2001-12-08 04:00:00
M15033,x1,298.2,308.0,1591.0,33.7,32,0,No Failure,2001-12-08 05:00:00
L47354,x_1,298.2,308.1,1306.0,58.3,35,0,No Failure,2001-12-08 06:00:00
L47355,x_1,298.2,308.1,1382.0,43.5,37,0,No Failure,2001-12-08 07:00:00
L47356,x_1,298.2,308.1,1618.0,34.7,39,0,No Failure,2001-12-08 08:00:00
L47357,x_1,298.2,308.2,1988.0,21.4,41,0,No Failure,2001-12-08 09:00:00
L47358,x_1,298.2,308.2,1436.0,50.2,43,0,No Failure,2001-12-08 10:00:00
L47359,x_1,298.2,308.3,1304.0,129.6,45,0,No Failure,2001-12-08 11:00:00
L47360,x_1,298.2,308.3,1475.0,49.9,47,0,No Failure,2001-12-08 12:00:00
H29595,X2,298.2,308.3,1824.0,24.2,49,0,No Failure,2011-12-08 13:00:00
M15042,x1,298.1,308.2,1342.0,207.7,54,0,No Failure,2001-12-08 14:00:00
L47363,x_1,298.1,308.2,1485.0,40.7,57,0,No Failure,2001-12-08 15:00:00
L47364,x_1,298.2,308.2,1667.0,30.6,59,0,No Failure,2001-12-08 16:00:00
L47365,x_1,298.2,308.2,1446.0,38.2,61,0,No Failure,2001-12-08 17:00:00
L47366,x_1,298.1,308.3,,56.0,63,0,No Failure,2001-12-08 18:00:00
L47367,x_1,298.2,308.4,1379.0,43.1,65,0,No Failure,2001-12-08 19:00:00
L47368,x_1,298.3,308.5,1606.0,113.4,67,0,No Failure,2001-12-08 20:00:00
M15049,x1,298.3,308.4,1539.0,43.4,69,0,No Failure,2001-12-08 21:00:00
L47370,x_1,298.2,308.4,1477.0,49.9,72,0,No Failure,2001-12-08 22:00:00
L47371,x_1,298.2,308.4,1666.0,34.6,74,0,No Failure,2001-12-08 23:00:00
H29606,X1,298.2,308.4,1398.0,51.8,76,0,No Failure,2001-12-09 00:00:00
H29607,X1,298.2,308.4,1678.0,34.6,81,0,No Failure,2001-12-09 01:00:00
M15054,x1,298.2,308.5,2678.0,10.7,86,1,Power Failure,2001-12-09 02:00:00
L47375,x_1,298.3,308.5,1453.0,42.9,89,0,No Failure,2001-12-09 03:00:00
H29610,X1,298.3,308.6,1432.0,49.5,91,0,No Failure,2001-12-09 04:00:00
M15057,x1,298.4,308.6,1527.0,40.9,96,0,No Failure,2001-12-09 05:00:00
L47378,x_1,298.4,308.7,1588.0,35.0,99,0,No Failure,2001-12-09 06:00:00
L47379,x_1,298.4,308.6,1433.0,47.1,101,0,No Failure,2001-12-09 07:00:00
L47380,x_1,298.4,308.6,1609.0,35.0,103,0,No Failure,2001-12-09 08:00:00
L47381,x_1,298.3,308.5,1575.0,41.2,105,0,No Failure,2001-12-09 09:00:00
M15062,x1,298.4,308.5,1636.0,35.7,107,0,No Failure,2001-12-09 10:00:00
L47383,x_1,298.4,308.5,1490.0,37.9,110,0,No Failure,2001-12-09 11:00:00
L47384,x_1,298.4,308.5,1741.0,32.8,112,0,No Failure,2001-12-09 12:00:00
M15065,x1,298.5,308.6,1344.0,53.0,114,0,No Failure,2001-12-09 13:00:00
L47386,x_1,298.5,308.7,1609.0,35.3,117,0,No Failure,2001-12-09 14:00:00
M15067,x1,298.4,308.7,1421.0,60.7,119,1,Power Failure,2001-12-09 15:00:00
L47388,x_1,298.4,308.6,1591.0,36.7,122,0,No Failure,2001-12-09 16:00:00
L47389,x_1,298.4,308.6,1477.0,44.0,124,0,No Failure,2001-12-09 17:00:00
L47390,x_1,298.4,308.7,1523.0,36.1,126,0,No Failure,2001-12-09 18:00:00
L47391,x_1,298.5,308.7,1575.0,33.9,128,0,No Failure,2001-12-09 19:00:00
H29626,X1,298.4,308.7,1344.0,52.9,130,0,No Failure,2001-12-09 20:00:00
L47393,x_1,298.4,308.7,1386.0,44.9,135,0,No Failure,2001-12-09 21:00:00
M15074,x1,298.3,308.6,1589.0,37.1,137,0,No Failure,2001-12-09 22:00:00
L47395,x_1,298.3,308.6,1548.0,40.3,140,0,No Failure,2001-12-09 23:00:00
L47396,x_1,298.3,308.6,1499.0,38.3,142,0,Error,2001-12-10 00:00:00
L47397,x_1,298.3,308.5,1664.0,31.6,144,0,No Failure,2001-12-10 01:00:00
L47398,x_1,298.3,308.6,1447.0,117.9,146,0,No Failure,2001-12-10 02:00:00
M15079,x1,298.3,308.5,1434.0,46.2,148,0,No Failure,2001-12-10 03:00:00
L47400,x_1,298.3,308.5,1416.0,52.7,151,0,No Failure,2001-12-10 04:00:00
H29635,X1,298.4,308.5,1827.0,24.3,153,0,No Failure,2001-12-10 05:00:00
L47402,x_1,298.4,308.6,1304.0,45.0,158,0,No Failure,2001-12-10 06:00:00
L47403,x_1,298.4,308.6,1569.0,34.4,160,0,No Failure,2001-12-10 07:00:00
L47404,x_1,298.3,308.6,1584.0,29.3,162,0,No Failure,2001-12-10 08:00:00
L47405,x_1,298.3,308.5,1362.0,53.8,164,0,No Failure,2001-12-10 09:00:00
L47406,x_1,298.3,308.4,1329.0,49.2,166,0,No Failure,2001-12-10 10:00:00
L47407,x_1,298.3,308.5,1539.0,36.1,168,0,No Failure,2001-12-10 11:00:00
M15088,x1,298.3,308.5,1629.0,37.1,170,0,No Failure,2001-12-10 12:00:00
L47409,x_1,282.3,308.5,1538.0,32.2,173,0,No Failure,2001-12-10 13:00:00
L47410,x_1,298.3,308.6,1570.0,34.8,175,0,No Failure,2001-12-10 14:00:00
L47411,x_1,298.3,308.4,1408.0,43.1,177,0,No Failure,2001-12-10 15:00:00
L47412,x_1,298.2,308.4,1424.0,47.6,179,0,No Failure,2001-12-10 16:00:00
L47413,x_1,282.2,308.4,1512.0,34.9,181,0,No Failure,2001-12-10 17:00:00
L47414,x_1,298.2,308.4,1478.0,42.9,183,0,No Failure,2001-12-10 18:00:00
M15095,x1,298.1,308.3,1680.0,33.7,185,0,No Failure,2001-12-10 19:00:00
L47416,x_1,298.1,308.3,1495.0,38.7,188,0,No Failure,2001-12-10 20:00:00
M15097,x1,298.0,308.1,1552.0,36.6,190,0,No Failure,2001-12-10 21:00:00
L47418,x_1,297.9,308.1,1393.0,50.3,193,0,No Failure,2001-12-10 22:00:00
L47419,x_1,298.0,308.2,1611.0,30.6,195,0,No Failure,2001-12-10 23:00:00
M15100,x1,298.0,308.1,1339.0,51.6,197,0,No Failure,2001-12-11 00:00:00
L47421,x_1,282.0,308.1,1777.0,24.3,200,0,No Failure,2001-12-11 01:00:00
L47422,x_1,298.0,308.2,1348.0,58.8,202,1,Overstrain Failure,2001-12-11 02:00:00
L47423,x_1,298.0,308.2,1442.0,44.1,204,0,No Failure,2001-12-11 03:00:00
M15104,x1,298.0,308.2,1395.0,49.1,206,0,No Failure,2001-12-11 04:00:00
M15105,x1,297.9,308.1,1627.0,31.4,209,0,No Failure,2001-12-11 05:00:00
L47426,x_1,297.9,308.1,1585.0,113.3,212,0,No Failure,2001-12-11 06:00:00
L47427,x_1,298.0,308.2,1469.0,45.5,214,0,No Failure,2001-12-11 07:00:00
L47428,x_1,298.0,308.3,1362.0,56.8,216,1,Overstrain Failure,2001-12-11 08:00:00
L47429,x_1,298.0,308.3,1405.0,56.2,218,1,Overstrain Failure,2001-12-11 09:00:00
L47430,x_1,298.0,308.3,1662.0,32.7,0,0,No Failure,2001-12-11 10:00:00
M15111,x1,298.0,308.2,1466.0,42.6,2,0,No Failure,2001-12-11 11:00:00
L47432,x_1,298.0,308.2,1620.0,35.8,5,0,No Failure,2001-12-11 12:00:00
L47433,x_1,298.0,308.2,1357.0,48.2,7,0,No Failure,2001-12-11 13:00:00
L47434,x_1,298.0,308.2,1514.0,117.7,9,0,No Failure,2001-12-11 14:00:00
L47435,x_1,298.0,308.2,1489.0,40.4,11,0,No Failure,2001-12-11 15:00:00
L47436,x_1,298.1,308.3,1331.0,63.0,13,0,No Failure,2001-12-11 16:00:00
L47437,x_1,298.0,308.0,1615.0,109.3,15,0,No Failure,2001-12-11 17:00:00
L47438,x_1,298.1,308.2,1482.0,37.9,17,0,No Failure,2001-12-11 18:00:00
M15119,x1,298.1,308.2,1420.0,63.9,19,1,Power Failure,2001-12-11 19:00:00
M15120,x1,298.2,308.3,1522.0,49.1,22,0,No Failure,2001-12-11 20:00:00
L47441,x_1,298.1,308.2,1654.0,32.1,25,0,No Failure,2001-12-11 21:00:00
M15122,x1,298.1,308.2,1736.0,26.8,27,0,No Failure,2001-12-11 22:00:00
M15123,x1,298.0,308.1,1587.0,112.1,30,0,No Failure,2001-12-11 23:00:00
L47444,x_1,298.1,308.2,1390.0,47.5,33,0,No Failure,2001-12-12 00:00:00
L47445,x_1,298.0,308.1,1454.0,37.1,35,0,No Failure,2001-12-12 01:00:00
H29680,X1,298.0,308.1,1440.0,43.7,37,0,No Failure,2001-12-12 02:00:00
L47447,x_1,297.9,308.0,1954.0,21.1,42,0,No Failure,2001-12-12 03:00:00
H29682,X1,297.9,308.0,1800.0,24.8,44,0,No Failure,2001-12-12 04:00:00
L47449,x_1,298.0,308.0,1524.0,37.0,49,0,No Failure,2001-12-12 05:00:00
H29684,X1,298.0,308.0,1520.0,39.6,51,0,No Failure,2001-12-12 06:00:00
M15131,x1,298.1,308.1,1452.0,40.8,56,0,No Failure,2001-12-12 07:00:00
L47452,x_1,298.1,308.1,1484.0,40.4,59,0,No Failure,2001-12-12 08:00:00
L47453,x_1,298.1,308.0,1426.0,46.0,61,0,No Failure,2001-12-12 09:00:00
L47454,x_1,298.1,308.0,1652.0,28.5,63,0,No Failure,2001-12-12 10:00:00
L47455,x_1,298.0,308.0,1401.0,134.5,65,0,No Failure,2001-12-12 11:00:00
M15136,x1,298.0,307.9,1750.0,26.6,67,0,No Failure,2001-12-12 12:00:00
H29691,X1,298.0,308.0,1479.0,50.7,70,0,No Failure,2001-12-12 13:00:00
M15138,x1,298.0,308.0,1620.0,29.4,75,0,No Failure,2001-12-12 14:00:00
L47459,X2,298.0,308.1,1819.0,23.4,78,0,No Failure,2011-12-12 15:00:00
M15140,x1,298.1,308.1,1456.0,43.7,80,0,No Failure,2001-12-12 16:00:00
L47461,x_1,298.1,308.0,1626.0,36.5,83,0,No Failure,2001-12-12 17:00:00
M15142,x1,298.1,308.1,1390.0,49.8,85,0,No Failure,2001-12-12 18:00:00
L47463,x_1,298.2,308.2,1469.0,43.0,88,0,No Failure,2001-12-12 19:00:00
L47464,x_1,298.2,308.3,2051.0,19.2,90,0,No Failure,2001-12-12 20:00:00
L47465,x_1,298.2,308.3,1568.0,36.0,92,0,No Failure,2001-12-12 21:00:00
L47466,x_1,298.2,308.3,1589.0,33.2,94,0,No Failure,2001-12-12 22:00:00
L47467,x_1,298.2,308.3,1805.0,31.6,96,0,No Failure,2001-12-12 23:00:00
H29702,X1,298.2,308.4,1385.0,122.0,98,0,No Failure,2001-12-13 00:00:00
L47469,x_1,298.1,308.4,1436.0,46.7,103,0,No Failure,2001-12-13 01:00:00
L47470,x_1,298.1,308.4,1438.0,125.4,105,0,No Failure,2001-12-13 02:00:00
L47471,x_1,298.0,308.3,1473.0,42.6,107,0,No Failure,2001-12-13 03:00:00
L47472,x_1,298.1,308.4,1335.0,40.2,109,0,No Failure,2001-12-13 04:00:00
H29707,X1,298.1,308.5,1392.0,44.8,111,0,No Failure,2001-12-13 05:00:00
M15154,x1,298.1,308.5,1372.0,51.1,116,0,No Failure,2001-12-13 06:00:00
M15155,x1,298.1,308.6,1716.0,30.7,119,0,No Failure,2001-12-13 07:00:00
L47476,x_1,298.0,308.5,1395.0,46.2,122,0,No Failure,2001-12-13 08:00:00
